曲柄转角(度),时间(s),工作阻力(N),O1水平反力(N),O1垂直反力(N),O1反力大小(N),O2水平反力(N),O2垂直反力(N),O2反力大小(N),平衡力矩(N·m)
121.33704735376044,0.4127110454209539,7516.28003597159,-4509.724892367382,-446.35499999999996,4531.760297154186,-3006.483261578255,-191.295,3012.5629253469915,526.4257019874883
122.33983286908077,0.41612188050707744,7435.033226434205,-4460.975626177242,-446.35499999999996,4483.250642488376,-2973.9837507848283,-191.295,2980.129716464905,515.1064732285014
123.3426183844011,0.4195327155932011,7351.508999324815,-4410.85992518646,-446.35499999999996,4433.386748935954,-2940.57328345764,-191.295,2946.788932450006,503.5981971030235
124.34540389972143,0.4229435506793246,7265.732938865677,-4359.393140437553,-446.35499999999996,4382.18453957829,-2906.2620936250355,-191.295,2912.5509667414876,491.9149728853692
125.34818941504177,0.42635438576544826,7177.731319035851,-4306.59103681474,-446.35499999999996,4329.660395966184,-2871.060691209827,-191.295,2877.426501169969,480.07111418613493
126.3509749303621,0.4297652208515718,7087.531095523268,-4252.469788212178,-446.35499999999996,4275.831157293553,-2834.9798588081194,-191.295,2841.426503866096,468.08113141599534
127.35376044568245,0.4331760559376954,6995.159897467936,-4197.045972576122,-446.35499999999996,4220.714119902276,-2798.0306483840814,-191.295,2804.562227215086,455.9597140083839
128.35654596100278,0.436586891023819,6900.646018998912,-4140.336566822417,-446.35499999999996,4164.327037180417,-2760.2243778816114,-191.295,2766.8452058756247,443.72171242285157
129.3593314763231,0.43999772610994253,6804.018410567529,-4082.358941630594,-446.35499999999996,4106.688119925381,-2721.5726277537296,-191.295,2728.287254884159,431.3821199511403
130.36211699164343,0.44340856119606614,6705.306670079633,-4023.1308561159376,-446.35499999999996,4047.816037254801,-2682.0872374106257,-191.295,2688.9004678689694,418.95605434827064
131.36490250696377,0.4468193962821897,6604.541033829469,-3962.670452380774,-446.35499999999996,3987.729918161039,-2641.780301587183,-191.295,2648.6972154021437,406.4587393111424
132.3676880222841,0.45023023136831336,6501.752367238029,-3900.9962499462285,-446.35499999999996,3926.4493538207694,-2600.664166630819,-191.295,2607.6901435221507,393.9054858273405
133.37047353760443,0.4536410664544369,6396.97215539871,-3838.1271400656306,-446.35499999999996,3863.9944007895997,-2558.7514267104207,-191.295,2565.892172465089,381.3116734170007
134.3732590529248,0.4570519015405605,6290.232493433124,-3774.0823799205855,-446.35499999999996,3800.385585233692,-2516.054919947057,-191.295,2523.3164956490878,368.69273129070854
135.3760445682451,0.4604627366266841,6181.566076660099,-3708.8815867006842,-446.35499999999996,3735.6439083767586,-2472.587724467123,-191.295,2479.9765789641046,356.06411944652547
136.37883008356545,0.4638735717128077,6071.006190580783,-3642.5447315675156,-446.35499999999996,3669.7908533723366,-2428.363154378344,-191.295,2435.8861604285494,343.4413097292905
137.3816155988858,0.46728440679893124,5958.586700683024,-3575.0921335035187,-446.35499999999996,3602.848393849475,-2383.3947556690123,-191.295,2391.059250285436,330.8397668754138
138.38440111420613,0.4706952418850549,5844.342042068033,-3506.544453045744,-446.35499999999996,3534.8390044259268,-2337.696302030496,-191.295,2345.510131624261,318.27492956637315
139.38718662952644,0.4741060769711784,5728.307208902639,-3436.922685904289,-446.35499999999996,3465.785673539054,-2291.2817906028595,-191.295,2299.25336163139,305.7621915141372
140.38997214484678,0.47751691205730196,5610.5177437002285,-3366.2481564644327,-446.35499999999996,3395.711919012741,-2244.1654376429556,-191.295,2252.3037735918747,293.31688260167715
141.39275766016712,0.4809277471434256,5491.00972643377,-3294.542511170887,-446.35499999999996,3324.6418068623834,-2196.3616741139244,-191.295,2204.6764797905203,280.954250101682
142.39554317548743,0.4843385822295492,5369.8197634842,-3221.8277117914536,-446.35499999999996,3252.5999739427466,-2147.885141194303,-191.295,2156.3868754906366,268.6894399964832
143.3983286908078,0.4877494173156728,5246.984976427532,-3148.1260285560948,-446.35499999999996,3179.611655170702,-2098.7506857040635,-191.295,2107.4506442069473,256.5374784220696
144.4011142061281,0.49116025240179634,5122.54299066424,-3073.460033165732,-446.35499999999996,3105.702716212887,-2048.9733554438217,-191.295,2057.8837645366934,244.5132532589402
145.40389972144845,0.49457108748791995,4996.531923894173,-2997.852591662615,-446.35499999999996,3030.8996927254548,-1998.5683944417433,-191.295,2007.7025188723671,232.6314958923268
146.4066852367688,0.4979819225740435,4868.990374440839,-2921.326857151352,-446.35499999999996,2955.2298374811385,-1947.5512381009016,-191.295,1956.9235043949354,220.9067631641591
147.40947075208913,0.5013927576601671,4739.95740942837,-2843.9062623553186,-446.35499999999996,2878.7211770313565,-1895.9375082368792,-191.295,1905.5636468416549,209.3534195388616
148.41225626740945,0.5048035927462907,4609.472552814877,-2765.6145119880225,-446.35499999999996,2801.402579948792,-1843.7430079920152,-191.295,1853.64021766481,197.98561950484134
149.41504178272982,0.5082144278324143,4477.575773285939,-2686.4755749118312,-446.35499999999996,2723.303839203928,-1790.9837166078878,-191.295,1801.170855354817,186.81729023322825
150.41782729805013,0.5116252629185378,4344.30747201185,-2606.5136760468736,-446.35499999999996,2644.4557718828246,-1737.6757840312491,-191.295,1748.173591904882,175.86211451511312
151.42061281337044,0.5150360980046614,4209.708470272324,-2525.753287980167,-446.35499999999996,2564.890340300658,-1683.8355253201114,-191.295,1694.6668856607353,165.1335139981783
152.4233983286908,0.518446933090785,4073.8199969526067,-2444.219122208139,-446.35499999999996,2484.64079967164,-1629.4794148054261,-191.295,1640.669662150073,154.64463274327466
153.42618384401112,0.5218577681769087,3936.683675914716,-2361.936119922688,-446.35499999999996,2403.741878950492,-1574.6240799484588,-191.295,1586.2013649529276,144.4083211210794
154.42896935933146,0.5252686032630323,3798.3415132476143,-2278.929442220413,-446.35499999999996,2322.230003389854,-1519.2862948136087,-191.295,1531.282019300646,134.43712006856074
155.4317548746518,0.5286794383491558,3658.8358844004324,-2195.2244595740153,-446.35499999999996,2240.1435699385493,-1463.4829730493439,-191.295,1475.9323119406074,124.74324572455185
156.43454038997214,0.5320902734352794,3518.2095212024533,-2110.8467403503196,-446.35499999999996,2157.523290088098,-1407.2311602335465,-191.295,1420.17369196773,115.33857446324168
157.43732590529245,0.535501108521403,3376.505498773971,-2025.8220380878922,-446.35499999999996,2074.4126195209046,-1350.5480253919284,-191.295,1364.0284989379938,106.23462834392849
158.4401114206128,0.5389119436075266,3233.7672223319946,-1940.1762771534798,-446.35499999999996,1990.8583004458494,-1293.4508514356532,-191.295,1307.5201268449432,97.44256099485912
159.44289693593313,0.5423227786936501,3090.0384138948566,-1853.9355362762217,-446.35499999999996,1906.9110515943846,-1235.957024184148,-191.295,1250.6732357634965,88.97314394844989
160.44568245125345,0.5457336137797737,2945.363098889739,-1767.1260293082676,-446.35499999999996,1822.6264536332735,-1178.0840195388453,-191.295,1193.5140276166856,80.83675344462637
